Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2022-09-12 18:00:00,Imported workout,3600,Bench Press (Barbell),1,35.0,5.0,,,
2022-09-12 18:00:00,Imported workout,3600,Bench Press (Barbell),Rest Timer,,,,90.0,
2022-09-12 18:00:00,Imported workout,3600,Bench Press (Barbell),5,35.0,5.0,,,
2022-09-12 18:00:00,Imported workout,3600,Bench Press (Barbell),Rest Timer,,,,90.0,
2022-09-12 18:00:00,Imported workout,3600,Bench Press (Barbell),4,35.0,5.0,,,
2022-09-12 18:00:00,Imported workout,3600,Bench Press (Barbell),Rest Timer,,,,90.0,
2022-09-12 18:00:00,Imported workout,3600,Bench Press (Barbell),3,35.0,5.0,,,
2022-09-12 18:00:00,Imported workout,3600,Bench Press (Barbell),Rest Timer,,,,90.0,
2022-09-12 18:00:00,Imported workout,3600,Bench Press (Barbell),2,35.0,5.0,,,
2022-09-12 18:00:00,Imported workout,3600,Bench Press (Barbell),Rest Timer,,,,90.0,
2022-09-12 18:00:00,Imported workout,3600,Seated Overhead Press (Dumbbell),2,8.0,5.0,,,
2022-09-12 18:00:00,Imported workout,3600,Seated Overhead Press (Dumbbell),Rest Timer,,,,90.0,
2022-09-12 18:00:00,Imported workout,3600,Seated Overhead Press (Dumbbell),1,8.0,5.0,,,
2022-09-12 18:00:00,Imported workout,3600,Seated Overhead Press (Dumbbell),Rest Timer,,,,90.0,
2022-09-12 18:00:00,Imported workout,3600,Seated Overhead Press (Dumbbell),3,8.0,5.0,,,
2022-09-12 18:00:00,Imported workout,3600,Seated Overhead Press (Dumbbell),Rest Timer,,,,90.0,
2022-09-12 18:00:00,Imported workout,3600,Lateral Raise (Dumbbell),3,4.0,8.0,,,
2022-09-12 18:00:00,Imported workout,3600,Lateral Raise (Dumbbell),Rest Timer,,,,90.0,
2022-09-12 18:00:00,Imported workout,3600,Lateral Raise (Dumbbell),2,4.0,8.0,,,
2022-09-12 18:00:00,Imported workout,3600,Lateral Raise (Dumbbell),Rest Timer,,,,90.0,
2022-09-12 18:00:00,Imported workout,3600,Lateral Raise (Dumbbell),1,4.0,8.0,,,
2022-09-12 18:00:00,Imported workout,3600,Lateral Raise (Dumbbell),Rest Timer,,,,90.0,
2022-09-12 18:00:00,Imported workout,3600,Triceps Pushdown (Cable - Straight Bar),5,9.0,8.0,,,
2022-09-12 18:00:00,Imported workout,3600,Triceps Pushdown (Cable - Straight Bar),Rest Timer,,,,90.0,
2022-09-12 18:00:00,Imported workout,3600,Triceps Pushdown (Cable - Straight Bar),4,9.0,8.0,,,
2022-09-12 18:00:00,Imported workout,3600,Triceps Pushdown (Cable - Straight Bar),Rest Timer,,,,90.0,
2022-09-12 18:00:00,Imported workout,3600,Triceps Pushdown (Cable - Straight Bar),3,9.0,8.0,,,
2022-09-12 18:00:00,Imported workout,3600,Triceps Pushdown (Cable - Straight Bar),Rest Timer,,,,90.0,
2022-09-12 18:00:00,Imported workout,3600,Triceps Pushdown (Cable - Straight Bar),2,9.0,8.0,,,
