Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2022-09-12,Wyciskanie na płaskiej,Chest,35.0,kgs,5,,,,""
2022-09-12,Wyciskanie na płaskiej,Chest,35.0,kgs,5,,,,""
2022-09-12,Wyciskanie na płaskiej,Chest,35.0,kgs,5,,,,""
2022-09-12,Wyciskanie na płaskiej,Chest,35.0,kgs,5,,,,""
2022-09-12,Wyciskanie na płaskiej,Chest,35.0,kgs,5,,,,""
2022-09-12,Wyciskanie na barki hantlami siedząc,Shoulders,8.0,kgs,5,,,,""
2022-09-12,Wyciskanie na barki hantlami siedząc,Shoulders,8.0,kgs,5,,,,""
2022-09-12,Wyciskanie na barki hantlami siedząc,Shoulders,8.0,kgs,5,,,,""
2022-09-12,Wznosy hantli bokiem,Shoulders,4.0,kgs,8,,,,""
2022-09-12,Wznosy hantli bokiem,Shoulders,4.0,kgs,8,,,,""
2022-09-12,Wznosy hantli bokiem,Shoulders,4.0,kgs,8,,,,""
2022-09-12,Rope pulldown,Triceps,9.0,kgs,8,,,,""
2022-09-12,Rope pulldown,Triceps,9.0,kgs,8,,,,""
2022-09-12,Rope pulldown,Triceps,9.0,kgs,8,,,,""
2022-09-12,Rope pulldown,Triceps,9.0,kgs,8,,,,""
2022-09-12,Rope pulldown,Triceps,9.0,kgs,8,,,,""
2022-09-13,OHP,Shoulders,25.0,kgs,10,,,,""
2022-09-13,OHP,Shoulders,25.0,kgs,10,,,,""
2022-09-13,OHP,Shoulders,25.0,kgs,10,,,,""
2022-09-13,OHP,Shoulders,25.0,kgs,10,,,,""
2022-09-13,PullUp,Back,,,1,,,,""
2022-09-13,PullUp,Back,,,1,,,,""
2022-09-13,PullUp,Back,,,1,,,,""
2022-09-13,Negatywy,Back,,,3,,,,""
2022-09-13,Negatywy,Back,,,3,,,,""
2022-09-13,Negatywy,Back,,,3,,,,""
2022-09-13,Negatywy,Back,,,3,,,,""
2022-09-13,Negatywy,Back,,,3,,,,""
2022-09-13,Modlitewnik sztanga,Biceps,18.0,kgs,8,,,,""
2022-09-13,Modlitewnik sztanga,Biceps,18.0,kgs,8,,,,""
2022-09-13,Modlitewnik sztanga,Biceps,18.0,kgs,8,,,,""
2022-09-13,Modlitewnik sztanga,Biceps,18.0,kgs,8,,,,""
2022-09-15,Przysiad bułgarski,Legs,16.0,kgs,8,,,,""
2022-09-15,Przysiad bułgarski,Legs,16.0,kgs,8,,,,""
2022-09-15,Przysiad bułgarski,Legs,16.0,kgs,8,,,,""
2022-09-15,Przysiad bułgarski,Legs,16.0,kgs,8,,,,""
2022-09-15,Przysiad bułgarski,Legs,16.0,kgs,8,,,,""
2022-09-15,Przysiad ze sztangą,Back,30.0,kgs,12,,,,""
2022-09-15,Przysiad ze sztangą,Back,30.0,kgs,12,,,,""
2022-09-15,Przysiad ze sztangą,Back,30.0,kgs,12,,,,""
2022-09-15,Przysiad ze sztangą,Back,30.0,kgs,12,,,,""
2022-09-15,Przysiad ze sztangą,Back,30.0,kgs,12,,,,""
2022-09-15,Negatywy,Back,,,1,,,,""
2022-09-15,Negatywy,Back,,,1,,,,""
2022-09-15,Negatywy,Back,,,1,,,,""
2022-09-15,Leg press,Legs,45.0,kgs,6,,,,""
2022-09-15,Leg press,Legs,45.0,kgs,6,,,,""
2022-09-15,Leg press,Legs,45.0,kgs,6,,,,""
2022-09-15,Leg press,Legs,45.0,kgs,6,,,,""
2022-09-15,Leg press,Legs,45.0,kgs,6,,,,""
2022-09-15,Calf raises na maszynie,Legs,73.0,kgs,5,,,,""
2022-09-15,Calf raises na maszynie,Legs,73.0,kgs,5,,,,""
2022-09-15,Calf raises na maszynie,Legs,73.0,kgs,5,,,,""
2022-09-15,Leg extension,Legs,45.0,kgs,12,,,,""
2022-09-15,Leg extension,Legs,45.0,kgs,12,,,,""
2022-09-15,Leg extension,Legs,45.0,kgs,12,,,,""
2022-09-15,Leg extension,Legs,45.0,kgs,12,,,,""
2022-09-15,Leg extension,Legs,45.0,kgs,12,,,,""
2022-09-16,Wyciskanie na płaskiej,Chest,37.5,kgs,5,,,,""
2022-09-16,Wyciskanie na płaskiej,Chest,37.5,kgs,5,,,,""
2022-09-16,Wyciskanie na płaskiej,Chest,37.5,kgs,5,,,,""
2022-09-16,Wyciskanie na płaskiej,Chest,37.5,kgs,5,,,,""
2022-09-16,Przysiad bułgarski,Legs,16.0,kgs,8,,,,""
2022-09-16,Przysiad bułgarski,Legs,16.0,kgs,8,,,,""
2022-09-16,Przysiad bułgarski,Legs,16.0,kgs,8,,,,""
2022-09-16,Przysiad bułgarski,Legs,16.0,kgs,8,,,,""
2022-09-16,Poziome wiosłownie siedząc,Back,25.0,kgs,8,,,,""
2022-09-16,Poziome wiosłownie siedząc,Back,25.0,kgs,8,,,,""
